Date,Sales
1/1/2019,21505
2/1/2019,19438
3/1/2019,21423
4/1/2019,19049
5/1/2019,19604
6/1/2019,17064
7/1/2019,19410
8/1/2019,18192
9/1/2019,20632
10/1/2019,24541
11/1/2019,26257
12/1/2019,22721
1/1/2020,29026
2/1/2020,27629
3/1/2020,27495
4/1/2020,21742
5/1/2020,22410
6/1/2020,24750
7/1/2020,25469
8/1/2020,25990
9/1/2020,26641
10/1/2020,29683
11/1/2020,31099
12/1/2020,29877
1/1/2021,34289
2/1/2021,38746
3/1/2021,38195
4/1/2021,36145
5/1/2021,34139
6/1/2021,30271
7/1/2021,32092
8/1/2021,34319
9/1/2021,33420
10/1/2021,38221
11/1/2021,40110
12/1/2021,35656
